ID,Tweet,Time,User,Likes,Replies,Retweet,in_response_to,response_type
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
,,,Bitcoin,0,0,0,,tweet
